Reflux Ratio,Purity,Condenser Duty,Reboiler Duty,Total Energy,Annual Utility Cost
1.0,0.606602695,-0.819929271,0.949619465,1.769548736,490507.27726665605
1.0,0.606603257,-0.819929056,0.949619358,1.769548414,490507.21994585596
1.5,0.604153782,-1.0250404,1.1548648,2.1799052,596989.5949183999
1.5,0.604153782,-1.0250404,1.1548648,2.1799052,596989.5949183999
2.0,0.602871564,-1.23012931,1.36002544,2.59015475,703429.0170473601
2.0,0.602871564,-1.23012931,1.36002544,2.59015475,703429.0170473601
2.5,0.602173034,-1.43520295,1.56513833,3.0003412799999998,809844.2092976001
3.0,0.601763059,-1.64026707,1.77022557,3.41049264,916246.36386912
3.5,0.601504648,-1.8453254,1.97529852,3.82062392,1022641.246816
4.0,0.601331752,-2.05038011,2.18036303,4.2307431399999995,1129031.8316233603
4.5,0.601210324,-2.25543245,2.38542226,4.640854709999999,1235419.725784
5.0,0.601121614,-2.46048321,2.59047805,5.05096126,1341805.8663465602
